score,match_label,tier,company,title,department,location,posted,match_path,score_detail,url,ats
17,Strong,T1,Eli Lilly,"Senior Director, DDCS Data Sciences & Digital Transformation",,"US, Indianapolis IN",,D1-title,Seniority=5 | Title=7 | Clusters=4 | Dept=0 | Tier=1,https://careers.lilly.com/job/US-Indianapolis-IN/Senior-Director--DDCS-Data-Sciences---Digital-Transformation_R-101573-1,Workday
10,Possible,T1,Novartis,Therapeutic Data Strategy Director,,East Hanover,,D1-title,Seniority=4 | Title=4 | Clusters=1 | Dept=0 | Tier=1,https://careers.novartis.com/job/East-Hanover/Therapeutic-Data-Strategy-Director_REQ-10013454,Workday
8,Possible,T1,Johnson & Johnson,"Senior Director, Oncology Data & AI Systems",,5 Locations,,D1-title,Seniority=5 | Title=0 | Clusters=2 | Dept=0 | Tier=1,https://jobs.jnj.com/job/Spring-House-Pennsylvania-United-States-of-America/Senior-Director--Oncology-Data---AI-Systems_R-062021-2,Workday
8,Possible,T1,Merck (MSD),"Executive Director, Digital Insights",,2 Locations,,D1-title,Seniority=3 | Title=0 | Clusters=4 | Dept=0 | Tier=1,https://jobs.merck.com/job/USA---New-Jersey---Rahway/Executive-Director--Digital-Insights_R388898,Workday
8,Possible,T1,Takeda,"Senior Director, Clinical Data Standards",,Massachusetts - Virtual,,D1-title,Seniority=5 | Title=0 | Clusters=2 | Dept=0 | Tier=1,https://www.takeda.com/careers/job/Massachusetts---Virtual/Senior-Director--Clinical-Data-Standards_R0166757,Workday
7,Possible,T1,AstraZeneca,"AI Technical Business Partner, Director – R&D China",,Shanghai Jing'An Office,,D1-title,Seniority=4 | Title=0 | Clusters=2 | Dept=0 | Tier=1,https://careers.astrazeneca.com/job/Shanghai-JingAn-Office/AI-Technical-Business-Partner--Director---R-D-China_R-244306,Workday
7,Possible,T1,Bristol Myers Squibb,"Director, Clinical Operations & Medical Affairs, Data & Analytics",,San Diego - RayzeBio - CA,,D1-title,Seniority=4 | Title=0 | Clusters=2 | Dept=0 | Tier=1,https://careers.bms.com/job/San-Diego---RayzeBio---CA/Director--Clinical-Operations---Medical-Affairs--Data---Analytics_R1599017,Workday
7,Possible,T1,Novartis,Director Oncology Data Science LMW,,Cambridge (USA),,D1-title,Seniority=4 | Title=0 | Clusters=2 | Dept=0 | Tier=1,https://careers.novartis.com/job/Cambridge-USA/Director-Oncology-Data-Science-LMW_REQ-10064353-1,Workday
7,Possible,T1,Takeda,"Director, Clinical Data Standards",,Massachusetts - Virtual,,D1-title,Seniority=4 | Title=0 | Clusters=2 | Dept=0 | Tier=1,https://www.takeda.com/careers/job/Massachusetts---Virtual/Director--Clinical-Data-Standards_R0175646,Workday
6,Weak,T1,Bristol Myers Squibb,"Director, Digital Health Strategy and Operations",,Princeton - NJ - US,,D1-title,Seniority=4 | Title=0 | Clusters=1 | Dept=0 | Tier=1,https://careers.bms.com/job/Princeton---NJ---US/Director--Digital-Health-Strategy-and-Operations_R1599891-1,Workday
6,Weak,T1,Johnson & Johnson,"Director, Product Mgmt, Data Science",,"New Brunswick, New Jersey, United States of America",,D1-title,Seniority=4 | Title=0 | Clusters=1 | Dept=0 | Tier=1,https://jobs.jnj.com/job/New-Brunswick-New-Jersey-United-States-of-America/Director--Product-Mgmt--Data-Science_R-055632-1,Workday
6,Weak,T1,Johnson & Johnson,"Director, Product Mgmt, Data Science",,3 Locations,,D1-title,Seniority=4 | Title=0 | Clusters=1 | Dept=0 | Tier=1,https://jobs.jnj.com/job/Warsaw-Masovian-Poland/Director--Product-Mgmt--Data-Science_R-056725,Workday
5,Weak,T1,AstraZeneca,"Executive Director, Oncology Data Science & AI, China",,Beijing Yizhuang,,D1-title,Seniority=3 | Title=0 | Clusters=1 | Dept=0 | Tier=1,https://careers.astrazeneca.com/job/Beijing-Yizhuang/Executive-Director--Oncology-Data-Science---AI--China_R-227980,Workday
5,Weak,T2,Moderna,"Associate Director, Business Analytics & Insights, Clinical Operations",,,,D1-title,Seniority=2 | Title=0 | Clusters=2 | Dept=0 | Tier=1,https://www.modernatx.com/careers/job/Toronto---Canada/Associate-Director--Business-Analytics---Insights--Clinical-Operations_R18481,Workday
5,Weak,T3,PPD / Thermo Fisher,"Data Domain Lead, Lab Data (Director)",,2 Locations,,D1-title,Seniority=4 | Title=0 | Clusters=1 | Dept=0 | Tier=0,https://jobs.thermofisher.com/job/Remote-North-Carolina-USA/Data-Domain-Lead--Lab-Data--Director-_R-01344058,Workday
5,Weak,T3,PPD / Thermo Fisher,"Data Domain Lead, Real World Data (Director)",,2 Locations,,D1-title,Seniority=4 | Title=0 | Clusters=1 | Dept=0 | Tier=0,https://jobs.thermofisher.com/job/Remote-North-Carolina-USA/Data-Domain-Lead--Real-World-Data--Director-_R-01344056,Workday
5,Weak,T4,Databricks,"Director, Engineering - Databricks Mosaic AI",Engineering - Pipeline,New York,2026-02-26,D1-title,Seniority=4 | Title=0 | Clusters=1 | Dept=0 | Tier=0,https://databricks.com/company/careers/open-positions/job?gh_jid=8214272002,Greenhouse
4,Weak,T1,AstraZeneca,"Associate Director, Data Services & AI - Evinova",,UK - London,,D1-title,Seniority=2 | Title=0 | Clusters=1 | Dept=0 | Tier=1,https://careers.astrazeneca.com/job/UK---London/Associate-Director--Data-Services---AI---Evinova_R-247597-1,Workday
4,Weak,T1,Bristol Myers Squibb,"Associate Director, Data Science",,Warsaw - PL,,D1-title,Seniority=2 | Title=0 | Clusters=1 | Dept=0 | Tier=1,https://careers.bms.com/job/Warsaw---PL/Associate-Director--Data-Science_R1598669,Workday
4,Weak,T2,Regeneron,"Associate Director, Clinical Data Reporting",,2 Locations,,D1-title,Seniority=2 | Title=0 | Clusters=1 | Dept=0 | Tier=1,https://careers.regeneron.com/job/Warren/Associate-Director--Clinical-Data-Reporting_R45331,Workday
