score,match_label,tier,company,title,department,location,posted,match_path,score_detail,url,ats
17,â˜…â˜…â˜… Strong,T1,Amgen,"AVP, Clinical Data Management",,India - Hyderabad,,D1-title,Seniority=5 | Title=7 | Clusters=4 | Dept=0 | Tier=1,https://careers.amgen.com/job/India---Hyderabad/AVP--Clinical-Data-Management_R-222164,Workday
12,â˜…â˜…  Good,T1,Bristol Myers Squibb,"Associate Director, Clinical Data Management",,2 Locations,,D1-title,Seniority=2 | Title=7 | Clusters=2 | Dept=0 | Tier=1,https://careers.bms.com/job/San-Diego---RayzeBio---CA/Associate-Director--Clinical-Data-Management_R1599661,Workday
12,â˜…â˜…  Good,T1,Novartis,"Executive Director, Functional AI & Process Excellence – Market Access",,2 Locations,,D1-title,Seniority=3 | Title=7 | Clusters=1 | Dept=0 | Tier=1,https://careers.novartis.com/job/Remote-Position-USA/Executive-Director--Functional-AI---Process-Excellence---Market-Access_REQ-10072860-1,Workday
12,â˜…â˜…  Good,T2,Exelixis,Clinical Data Management Director,,"Alameda, CA",,D1-title,Seniority=3 | Title=7 | Clusters=1 | Dept=0 | Tier=1,https://exelixis.com/careers/job/Alameda-CA/Clinical-Data-Mgmt-Director_JR6354,Workday
11,â˜…â˜…  Good,T1,Novartis,Therapeutic Data Strategy Director,,East Hanover,,D1-title,Seniority=3 | Title=4 | Clusters=3 | Dept=0 | Tier=1,https://careers.novartis.com/job/East-Hanover/Therapeutic-Data-Strategy-Director_REQ-10013454,Workday
11,â˜…â˜…  Good,T2,Genmab,"Associate Director, Standards and Systems, Clinical Data Management",,2 Locations,,D1-title,Seniority=2 | Title=7 | Clusters=1 | Dept=0 | Tier=1,https://careers.genmab.com/job/Brussels/Associate-Director--Standards-and-Systems--Clinical-Data-Management_R15037,Workday
11,â˜…â˜…  Good,T2,Regeneron,"Associate Director, External Clinical Data Management",,3 Locations,,D1-title,Seniority=2 | Title=7 | Clusters=1 | Dept=0 | Tier=1,https://careers.regeneron.com/job/Warren/Associate-Director--Data-Management_R42183,Workday
9,â˜…   Possible,T1,Takeda,"Senior Director, Clinical Data Standards",,Massachusetts - Virtual,,D1-title,Seniority=5 | Title=0 | Clusters=3 | Dept=0 | Tier=1,https://www.takeda.com/careers/job/Massachusetts---Virtual/Senior-Director--Clinical-Data-Standards_R0166757,Workday
7,â˜…   Possible,T1,Bristol Myers Squibb,"Director, Clinical Operations & Medical Affairs, Data & Analytics",,San Diego - RayzeBio - CA,,D1-title,Seniority=3 | Title=0 | Clusters=3 | Dept=0 | Tier=1,https://careers.bms.com/job/San-Diego---RayzeBio---CA/Director--Clinical-Operations---Medical-Affairs--Data---Analytics_R1599017,Workday
7,â˜…   Possible,T2,Exelixis,"Senior Director, Clinical Operations Compliance Management (Biotechnology/Oncology)",,"Alameda, CA",,D1-title,Seniority=5 | Title=0 | Clusters=1 | Dept=0 | Tier=1,https://exelixis.com/careers/job/Alameda-CA/Senior-Director--Clinical-Operations-Compliance-Management--Biotechnology-Oncology-_JR6569,Workday
7,â˜…   Possible,T2,Moderna,"Associate Director, Business Analytics & Insights, Clinical Operations",,,,D1-title,Seniority=2 | Title=0 | Clusters=4 | Dept=0 | Tier=1,https://www.modernatx.com/careers/job/Toronto---Canada/Associate-Director--Business-Analytics---Insights--Clinical-Operations_R18481,Workday
6,    Weak,T1,Takeda,"Director, Clinical Data Standards",,Massachusetts - Virtual,,D1-title,Seniority=3 | Title=0 | Clusters=2 | Dept=0 | Tier=1,https://www.takeda.com/careers/job/Massachusetts---Virtual/Director--Clinical-Data-Standards_R0175646,Workday
6,    Weak,T2,Genmab,"Associate Director, Clinical Data Manager",,Princeton,,D1-title,Seniority=2 | Title=0 | Clusters=3 | Dept=0 | Tier=1,https://careers.genmab.com/job/Princeton/Associate-Director--Clinical-Data-Manager_R15046-1,Workday
5,    Weak,T1,Amgen,"Director, Clinical Data Delivery and Insights",,India - Hyderabad,,D1-title,Seniority=3 | Title=0 | Clusters=1 | Dept=0 | Tier=1,https://careers.amgen.com/job/India---Hyderabad/Director-Data-Delivery-and-Insights_R-237072,Workday
5,    Weak,T2,Regeneron,"Associate Director, Clinical Data Reporting",,2 Locations,,D1-title,Seniority=2 | Title=0 | Clusters=2 | Dept=0 | Tier=1,https://careers.regeneron.com/job/Warren/Associate-Director--Clinical-Data-Reporting_R45331,Workday
4,    Weak,T3,ICON plc (incl. PRA),"Associate Director, Clinical Data Manager",,3 Locations,,D1-title,Seniority=2 | Title=0 | Clusters=2 | Dept=0 | Tier=0,https://careers.iconplc.com/job/France-Paris/Associate-Director--Clinical-Data-Manager_JR144796,Workday
